OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.44,164160.0,1.44,"Dec 22, 2009 00:00:00",1.44,1.44
1.56,1560.0,1.56,"Jan 06, 2010 00:00:00",1.56,1.56
1.38,1380.0,1.38,"Jan 21, 2010 00:00:00",1.38,1.38
1.12,1120.0,1.12,"May 14, 2010 00:00:00",1.12,1.12
1.16,1160.0,1.16,"May 19, 2010 00:00:00",1.16,1.16
1.5,1500.0,1.5,"Sep 23, 2010 00:00:00",1.5,1.5
2.0,2000.0,2.0,"Sep 24, 2010 00:00:00",2.0,2.0
2.5,20000.0,2.5,"Jan 03, 2011 00:00:00",2.5,2.5
2.5,20000.0,2.5,"Jan 03, 2011 00:00:00",2.5,2.5
2.5,20000.0,2.5,"Jan 03, 2011 00:00:00",2.5,2.5
1.53,35190.0,1.53,"Jan 27, 2011 00:00:00",1.53,1.53
1.54,29700.0,2.0,"Feb 01, 2011 00:00:00",2.0,1.54
1.54,29700.0,2.0,"Feb 01, 2011 00:00:00",2.0,1.54
2.1,4200.0,2.1,"May 30, 2011 00:00:00",2.1,2.1
2.2,2200.0,2.2,"Jul 08, 2011 00:00:00",2.2,2.2
2.5,2500.0,2.5,"Aug 03, 2011 00:00:00",2.5,2.5
2.5,2500.0,2.5,"Aug 15, 2011 00:00:00",2.5,2.5
2.5,2500.0,2.5,"Aug 18, 2011 00:00:00",2.5,2.5
2.6,2600.0,2.6,"Aug 31, 2011 00:00:00",2.6,2.6
1.31,11740.0,1.3,"Oct 10, 2011 00:00:00",1.31,1.3
1.95,3880.0,1.93,"Oct 25, 2011 00:00:00",1.95,1.93
2.2,2193400.0,2.2,"Oct 26, 2011 00:00:00",2.2,2.2
2.2,1342000.0,2.2,"Nov 04, 2011 00:00:00",2.2,2.2
2.2,554400.0,2.2,"Nov 08, 2011 00:00:00",2.2,2.2
3.3,13200.0,3.3,"Nov 09, 2011 00:00:00",3.3,3.3
2.6,45600.0,2.4,"Feb 27, 2012 00:00:00",2.6,2.4
3.6,36000.0,3.6,"Apr 13, 2012 00:00:00",3.6,3.6
3.6,10800.0,3.56,"Jul 17, 2012 00:00:00",3.6,3.6
3.0,30000.0,3.0,"Nov 29, 2012 00:00:00",3.0,3.0
3.0,36000.0,3.0,"Dec 03, 2012 00:00:00",3.0,3.0
2.5,26500.0,4.0,"Dec 10, 2012 00:00:00",4.0,2.5
4.0,16000.0,4.0,"Dec 11, 2012 00:00:00",4.0,4.0
2.5,141810.0,2.3,"Dec 28, 2012 00:00:00",2.5,2.3
2.3,2300.0,2.3,"Jan 04, 2013 00:00:00",2.3,2.3
2.5,23750.0,2.25,"Jan 07, 2013 00:00:00",2.5,2.25
2.5,2500.0,2.5,"Feb 14, 2013 00:00:00",2.5,2.5
2.75,28740.0,3.0,"Feb 18, 2013 00:00:00",3.0,2.75
3.1,3100.0,3.1,"Feb 20, 2013 00:00:00",3.1,3.1
3.8,19000.0,3.8,"Feb 28, 2013 00:00:00",3.8,3.8
3.5,14000.0,3.5,"Mar 04, 2013 00:00:00",3.5,3.5
2.51,32110.0,4.8,"Apr 10, 2013 00:00:00",4.8,2.5
3.0,6000.0,3.0,"Apr 23, 2013 00:00:00",3.0,3.0
3.0,315000.0,3.0,"May 07, 2013 00:00:00",3.0,3.0
4.5,9000.0,4.5,"Jun 20, 2013 00:00:00",4.5,4.5
3.2,3200.0,3.2,"Jul 05, 2013 00:00:00",3.2,3.2
3.5,3500.0,3.5,"Jul 12, 2013 00:00:00",3.5,3.5
3.5,35000.0,3.5,"Dec 18, 2013 00:00:00",3.5,3.5
3.5,10500.0,3.5,"Dec 20, 2013 00:00:00",3.5,3.5
3.5,17500.0,3.5,"Feb 06, 2014 00:00:00",3.5,3.5
4.0,4000.0,4.0,"Apr 28, 2014 00:00:00",4.0,4.0
6.0,30000.0,6.0,"Jun 24, 2014 00:00:00",6.0,6.0
9.0,169200.0,9.0,"Jun 25, 2014 00:00:00",9.0,9.0
13.5,731786.0,13.0,"Jun 26, 2014 00:00:00",13.5,8.0
10.4,217670.0,11.5,"Jun 27, 2014 00:00:00",15.0,10.4
10.5,65264.0,13.5,"Jun 30, 2014 00:00:00",13.98,10.5
11.02,236344.0,12.5,"Jul 01, 2014 00:00:00",12.5,11.0
11.1,148840.0,11.9,"Jul 02, 2014 00:00:00",11.9,11.0
11.0,75198.0,10.5,"Jul 03, 2014 00:00:00",11.48,10.5
10.5,333790.0,11.2,"Jul 04, 2014 00:00:00",11.6,10.5
10.02,73234.0,11.0,"Jul 07, 2014 00:00:00",11.2,10.02
10.1,83854.0,10.3,"Jul 08, 2014 00:00:00",11.0,10.02
10.28,152614.0,9.3,"Jul 09, 2014 00:00:00",10.28,9.3
10.94,35168.0,9.35,"Jul 10, 2014 00:00:00",10.94,9.35
9.35,70875.0,9.0,"Jul 11, 2014 00:00:00",9.35,9.0
9.0,45810.0,8.11,"Jul 14, 2014 00:00:00",9.0,8.1
8.45,1637170.0,8.0,"Jul 15, 2014 00:00:00",8.45,8.0
8.0,355200.0,8.0,"Jul 17, 2014 00:00:00",8.0,8.0
8.1,37650.0,8.0,"Jul 18, 2014 00:00:00",8.1,8.0
8.0,4800.0,8.0,"Jul 21, 2014 00:00:00",8.0,8.0
9.2,12920.0,8.0,"Jul 22, 2014 00:00:00",9.2,8.0
8.0,48000.0,8.0,"Jul 23, 2014 00:00:00",8.0,8.0
8.3,8830.0,8.0,"Jul 28, 2014 00:00:00",8.3,8.0
8.0,8269.0,9.19,"Jul 30, 2014 00:00:00",9.19,8.0
7.65,3486.0,9.07,"Jul 31, 2014 00:00:00",9.07,7.65
9.0,1800.0,9.0,"Aug 04, 2014 00:00:00",9.0,9.0
8.99,1798.0,8.99,"Aug 05, 2014 00:00:00",8.99,8.99
8.95,1775.0,8.8,"Aug 06, 2014 00:00:00",8.95,8.8
8.1,57260.0,8.5,"Aug 07, 2014 00:00:00",8.8,8.0
8.0,51200.0,8.0,"Aug 08, 2014 00:00:00",8.0,8.0
8.79,6133.999999999999,8.6,"Aug 11, 2014 00:00:00",8.79,8.6
8.6,860.0,8.6,"Aug 14, 2014 00:00:00",8.6,8.6
8.59,859.0,8.59,"Aug 18, 2014 00:00:00",8.59,8.59
8.57,9357.0,8.5,"Aug 19, 2014 00:00:00",8.57,8.5
8.4,2520.0,8.4,"Aug 20, 2014 00:00:00",8.4,8.4
4.14,8292.0,8.0,"Aug 29, 2014 00:00:00",8.0,4.14
7.99,2397.0,7.99,"Sep 01, 2014 00:00:00",7.99,7.99
7.0,12600.0,7.0,"Sep 02, 2014 00:00:00",7.0,7.0
6.0,72600.0,6.0,"Sep 03, 2014 00:00:00",6.0,6.0
6.0,3600.0,6.0,"Sep 04, 2014 00:00:00",6.0,6.0
6.0,1800.0,6.0,"Sep 08, 2014 00:00:00",6.0,6.0
6.0,4800.0,6.0,"Sep 09, 2014 00:00:00",6.0,6.0
8.4,12627.0,7.81,"Sep 10, 2014 00:00:00",8.4,7.81
6.99,699.0,6.99,"Sep 11, 2014 00:00:00",6.99,6.99
7.5,74590.0,7.0,"Sep 12, 2014 00:00:00",7.5,7.0
6.99,2095.0,6.98,"Sep 17, 2014 00:00:00",6.99,6.98
6.98,698.0,6.98,"Sep 18, 2014 00:00:00",6.98,6.98
6.98,6980.0,6.98,"Sep 22, 2014 00:00:00",6.98,6.98
6.0,19200.0,6.0,"Sep 23, 2014 00:00:00",6.0,6.0
6.5,179551.0,6.5,"Sep 24, 2014 00:00:00",6.5,6.0
6.5,32500.0,6.5,"Sep 25, 2014 00:00:00",6.5,6.5
6.5,32500.0,6.5,"Sep 26, 2014 00:00:00",6.5,6.5
6.0,12000.0,6.0,"Oct 01, 2014 00:00:00",6.0,6.0
6.46,32448.0,6.5,"Oct 02, 2014 00:00:00",6.5,6.46
6.5,5850.0,6.5,"Oct 03, 2014 00:00:00",6.5,6.5
6.0,7200.0,6.0,"Oct 09, 2014 00:00:00",6.0,6.0
5.5,550.0,5.5,"Oct 13, 2014 00:00:00",5.5,5.5
5.5,3300.0,5.5,"Oct 14, 2014 00:00:00",5.5,5.5
5.5,16500.0,5.5,"Oct 15, 2014 00:00:00",5.5,5.5
6.4,640.0,6.4,"Oct 16, 2014 00:00:00",6.4,6.4
6.34,38088.0,6.35,"Oct 20, 2014 00:00:00",6.35,6.34
6.3,2520.0,6.3,"Oct 21, 2014 00:00:00",6.3,6.3
5.5,57450.0,5.05,"Oct 22, 2014 00:00:00",5.5,5.0
5.05,49367.0,5.0,"Oct 23, 2014 00:00:00",5.06,5.0
5.0,2500.0,5.0,"Oct 24, 2014 00:00:00",5.0,5.0
5.0,4000.0,5.0,"Oct 31, 2014 00:00:00",5.0,5.0
5.99,33544.0,5.99,"Nov 03, 2014 00:00:00",5.99,5.99
5.0,52500.0,5.0,"Nov 05, 2014 00:00:00",5.0,5.0
5.0,5000.0,5.0,"Nov 12, 2014 00:00:00",5.0,5.0
5.2,26000.0,5.2,"Nov 14, 2014 00:00:00",5.2,5.2
5.05,17675.0,5.05,"Nov 19, 2014 00:00:00",5.05,5.05
5.05,5555.0,5.05,"Nov 25, 2014 00:00:00",5.05,5.05
6.35,16145.0,6.0,"Nov 27, 2014 00:00:00",6.35,6.0
6.0,1200.0,6.0,"Nov 28, 2014 00:00:00",6.0,6.0
5.05,2525.0,5.05,"Dec 02, 2014 00:00:00",5.05,5.05
5.05,15655.0,5.05,"Dec 03, 2014 00:00:00",5.05,5.05
5.1,9180.0,5.1,"Dec 04, 2014 00:00:00",5.1,5.1
5.1,1530.0,5.1,"Dec 05, 2014 00:00:00",5.1,5.1
